name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace,cyclomatic
"R$styleable.<init>()","android.support.v7.cardview.R$styleable.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,39,6362,N,"void R$styleable.<init>()(class android.support.v7.cardview.R$styleable *this)",5,0.80,0.30,0,1,39,1
"R.<init>()","android.support.v7.cardview.R.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,1,6362,N,"void R.<init>()(class android.support.v7.cardview.R *this)",5,0.80,0.30,0,1,1 9 39,1
"R$attr.<init>()","de.hdodenhof.circleimageview.R$attr.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,10,6362,N,"void R$attr.<init>()(class de.hdodenhof.circleimageview.R$attr *this)",5,0.80,0.30,0,1,10,1
"void R$styleable.<clinit>()","de.hdodenhof.circleimageview.R$styleable.<clinit>():void",1,0,  ,44,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,16,6362,N,"class java.lang.Object *void R$styleable.<clinit>()(class java.lang.String *field)",9,0.89,0.00,0,0,16,1
"R$styleable.<init>()","de.hdodenhof.circleimageview.R$styleable.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,15,6362,N,"void R$styleable.<init>()(class de.hdodenhof.circleimageview.R$styleable *this)",5,0.80,0.30,0,1,15,1
"R.<init>()","de.hdodenhof.circleimageview.R.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,1,6362,N,"void R.<init>()(class de.hdodenhof.circleimageview.R *this)",5,0.80,0.30,0,1,1 9 15,1
"BitmapLruCache.<init>()","material.com.materialdemo.BitmapLruCache.<init>()",1,0,  ,30,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/BitmapLruCache.java,18,87,N,"void BitmapLruCache.<init>()(class material.com.materialdemo.BitmapLruCache *this)",6,0.83,0.78,1,4,18 19 20,1
"Bitmap BitmapLruCache.getBitmap(String)","material.com.materialdemo.BitmapLruCache.getBitmap(java.lang.String):android.graphics.Bitmap",1,0,  ,34,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/BitmapLruCache.java,61,87,N,"class android.graphics.Bitmap *Bitmap BitmapLruCache.getBitmap(String)(class material.com.materialdemo.BitmapLruCache *this, class java.lang.String *key)",5,0.80,0.30,0,1,61 62,1
"int BitmapLruCache.getDefaultLruCacheSize()","material.com.materialdemo.BitmapLruCache.getDefaultLruCacheSize():int",1,0,  ,60,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/BitmapLruCache.java,39,87,N,"int int BitmapLruCache.getDefaultLruCacheSize()()",8,0.88,0.70,2,2,39 41 43 44,1
"BitmapLruCache BitmapLruCache.open()","material.com.materialdemo.BitmapLruCache.open():material.com.materialdemo.BitmapLruCache",2,0,  ,72,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/BitmapLruCache.java,27,87,N,"class material.com.materialdemo.BitmapLruCache *BitmapLruCache BitmapLruCache.open()()",8,0.88,0.78,0,5,27 28 29 31,2
"void BitmapLruCache.putBitmap(String,Bitmap)","material.com.materialdemo.BitmapLruCache.putBitmap(java.lang.String,android.graphics.Bitmap):void",1,0,  ,115,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/BitmapLruCache.java,72,87,N,"void void BitmapLruCache.putBitmap(String,Bitmap)(class material.com.materialdemo.BitmapLruCache *this, class java.lang.String *key, class android.graphics.Bitmap *bitmap)",27,0.33,0.70,0,4,72 74 75 76 79 86,5
"int BitmapLruCache.sizeOf(Object,Object)","material.com.materialdemo.BitmapLruCache.sizeOf(java.lang.Object,java.lang.Object):int",1,0,  ,44,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/BitmapLruCache.java,13,87,N,"int int BitmapLruCache.sizeOf(Object,Object)(class material.com.materialdemo.BitmapLruCache *this, class java.lang.Object *$bcvar1, class java.lang.Object *$bcvar2)",5,0.80,0.48,0,2,13,1
"int BitmapLruCache.sizeOf(String,Bitmap)","material.com.materialdemo.BitmapLruCache.sizeOf(java.lang.String,android.graphics.Bitmap):int",1,0,  ,34,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/BitmapLruCache.java,48,87,N,"int int BitmapLruCache.sizeOf(String,Bitmap)(class material.com.materialdemo.BitmapLruCache *this, class java.lang.String *key, class android.graphics.Bitmap *bitmap)",5,0.80,0.48,1,1,48 51,1
"void BuildConfig.<clinit>()","material.com.materialdemo.BuildConfig.<clinit>():void",1,0,  ,42,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/buildConfig/debug/material/com/materialdemo/BuildConfig.java,7,13,N,"class java.lang.Object *void BuildConfig.<clinit>()(class java.lang.String *field)",6,0.83,0.30,0,1,7,1
"BuildConfig.<init>()","material.com.materialdemo.BuildConfig.<init>()",1,0,  ,30,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/buildConfig/debug/material/com/materialdemo/BuildConfig.java,6,13,N,"void BuildConfig.<init>()(class material.com.materialdemo.BuildConfig *this)",5,0.80,0.30,0,1,6,1
"CategoryAdapter$ViewHolder.<init>(View,int)","material.com.materialdemo.CategoryAdapter$ViewHolder.<init>(android.view.View,int)",2,0,  ,95,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CategoryAdapter.java,32,107,N,"void CategoryAdapter$ViewHolder.<init>(View,int)(class material.com.materialdemo.CategoryAdapter$ViewHolder *this, class android.view.View *itemView, int ViewType)",19,0.00,0.70,2,2,,2
"CategoryAdapter.<init>(java.lang.String[],int[])","material.com.materialdemo.CategoryAdapter.<init>(java.lang.String[],int[])",1,0,  ,36,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CategoryAdapter.java,54,107,N,"void CategoryAdapter.<init>(java.lang.String[],int[])(class material.com.materialdemo.CategoryAdapter *this, class java.lang.String *(*Titles)[_t$44], int (*Icons)[_t$45])",7,0.86,0.30,0,1,54 55 56 57,1
"int CategoryAdapter.getItemCount()","material.com.materialdemo.CategoryAdapter.getItemCount():int",1,0,  ,22,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CategoryAdapter.java,92,107,N,"int int CategoryAdapter.getItemCount()(class material.com.materialdemo.CategoryAdapter *this)",4,0.75,0.00,0,0,92 93,1
"int CategoryAdapter.getItemViewType(int)","material.com.materialdemo.CategoryAdapter.getItemViewType(int):int",2,0,  ,77,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CategoryAdapter.java,97,107,N,"int int CategoryAdapter.getItemViewType(int)(class material.com.materialdemo.CategoryAdapter *this, int position)",8,0.88,0.30,0,1,97 98 99 101,2
"boolean CategoryAdapter.isPositionHeader(int)","material.com.materialdemo.CategoryAdapter.isPositionHeader(int):boolean",2,0,  ,69,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CategoryAdapter.java,104,107,N,"_Bool boolean CategoryAdapter.isPositionHeader(int)(class material.com.materialdemo.CategoryAdapter *this, int position)",8,0.88,0.30,1,0,104 105,2
"void CategoryAdapter.onBindViewHolder(RecyclerView$ViewHolder,int)","material.com.materialdemo.CategoryAdapter.onBindViewHolder(android.support.v7.widget.RecyclerView$Vi2C5D",2,0,  ,80,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CategoryAdapter.java,13,107,N,"void void CategoryAdapter.onBindViewHolder(RecyclerView$ViewHolder,int)(class material.com.materialdemo.CategoryAdapter *this, class android.support.v7.widget.RecyclerView$ViewHolder *$bcvar1, int $bcvar2)",5,0.80,0.60,0,3,13,1
"void CategoryAdapter.onBindViewHolder(CategoryAdapter$ViewHolder,int)","material.com.materialdemo.CategoryAdapter.onBindViewHolder(material.com.materialdemo.CategoryAdapterC2B5",2,0,  ,145,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CategoryAdapter.java,84,107,N,"void void CategoryAdapter.onBindViewHolder(CategoryAdapter$ViewHolder,int)(class material.com.materialdemo.CategoryAdapter *this, class material.com.materialdemo.CategoryAdapter$ViewHolder *holder, int position)",8,0.88,0.60,1,2,84 85 86 87 89,2
"RecyclerView$ViewHolder CategoryAdapter.onCreateViewHolder(ViewGroup,int)","material.com.materialdemo.CategoryAdapter.onCreateViewHolder(android.view.ViewGroup,int):android.sup9142",1,0,  ,78,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CategoryAdapter.java,13,107,N,"class android.support.v7.widget.RecyclerView$ViewHolder *RecyclerView$ViewHolder CategoryAdapter.onCreateViewHolder(ViewGroup,int)(class material.com.materialdemo.CategoryAdapter *this, class android.view.ViewGroup *$bcvar1, int $bcvar2)",5,0.80,0.90,0,7,13,1
"CategoryAdapter$ViewHolder CategoryAdapter.onCreateViewHolder(ViewGroup,int)","material.com.materialdemo.CategoryAdapter.onCreateViewHolder(android.view.ViewGroup,int):material.co49DB",3,0,  ,177,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CategoryAdapter.java,62,107,N,"class material.com.materialdemo.CategoryAdapter$ViewHolder *CategoryAdapter$ViewHolder CategoryAdapter.onCreateViewHolder(ViewGroup,int)(class material.com.materialdemo.CategoryAdapter *this, class android.view.ViewGroup *parent, int viewType)",18,0.28,0.90,1,6,62 63 69 79,3
